Neuron_number,Layers_number,Dropout_rate,LearningRate,Neuron_number_change,Loss,Accuracy
7,1,0.1,0.2,flat,0.14562970399856567,1.0
7,1,0.2,0.05,flat,0.4186888337135315,1.0
7,1,0.2,0.1,flat,0.14742980897426605,1.0
7,1,0.2,0.15,flat,0.051124442368745804,1.0
7,1,0.2,0.2,flat,0.040522754192352295,1.0
7,1,0.3,0.05,flat,0.7540835738182068,0.9444444179534912
7,1,0.3,0.1,flat,0.1536102294921875,1.0
7,1,0.3,0.15,flat,0.09328398108482361,1.0
7,1,0.3,0.2,flat,0.5260621905326843,0.7222222089767456
8,1,0.1,0.05,flat,0.14497913420200348,1.0
8,1,0.1,0.1,flat,0.02523737959563732,1.0
8,1,0.1,0.15,flat,0.22876116633415222,1.0
8,1,0.1,0.2,flat,0.3664523959159851,0.8888888955116272
8,1,0.2,0.05,flat,0.5342539548873901,0.8888888955116272
8,1,0.2,0.1,flat,0.25692975521087646,1.0
8,1,0.2,0.15,flat,0.1710021197795868,1.0
8,1,0.2,0.2,flat,0.0066970824263989925,1.0
8,1,0.3,0.05,flat,0.3440038859844208,0.9444444179534912
8,1,0.3,0.1,flat,0.18476921319961548,1.0
8,1,0.3,0.15,flat,0.2933257818222046,1.0
8,1,0.3,0.2,flat,0.13838893175125122,0.9444444179534912
9,1,0.1,0.05,flat,0.06706278026103973,1.0
9,1,0.1,0.1,flat,0.2254638671875,0.9444444179534912
9,1,0.1,0.15,flat,0.11715630441904068,0.9444444179534912
9,1,0.1,0.2,flat,0.08924306184053421,1.0
9,1,0.2,0.05,flat,0.45119941234588623,1.0
9,1,0.2,0.1,flat,0.4475770592689514,1.0
9,1,0.2,0.15,flat,0.0645781084895134,0.9444444179534912
9,1,0.2,0.2,flat,0.48801082372665405,0.8333333134651184
9,1,0.3,0.05,flat,0.23126904666423798,1.0
9,1,0.3,0.1,flat,0.09567201137542725,1.0
9,1,0.3,0.15,flat,0.09579478204250336,1.0
9,1,0.3,0.2,flat,0.3588202893733978,0.8888888955116272
10,1,0.1,0.05,flat,0.2144438624382019,1.0
10,1,0.1,0.1,flat,0.2097511887550354,1.0
10,1,0.1,0.15,flat,0.11658652871847153,0.9444444179534912
10,1,0.1,0.2,flat,0.009264309890568256,1.0
10,1,0.2,0.05,flat,0.2536768317222595,0.9444444179534912
10,1,0.2,0.1,flat,0.02502232789993286,1.0
10,1,0.2,0.15,flat,0.17741741240024567,1.0
10,1,0.2,0.2,flat,0.07166890799999237,1.0
10,1,0.3,0.05,flat,0.3199120759963989,1.0
10,1,0.3,0.1,flat,0.03544268384575844,1.0
10,1,0.3,0.15,flat,0.24500805139541626,1.0
10,1,0.3,0.2,flat,0.08641895651817322,1.0
11,1,0.1,0.05,flat,0.3224545121192932,0.8888888955116272
11,1,0.1,0.1,flat,0.04902966320514679,1.0
11,1,0.1,0.15,flat,0.002119458746165037,1.0
11,1,0.1,0.2,flat,0.034412041306495667,1.0
11,1,0.2,0.05,flat,0.43902087211608887,0.8333333134651184
11,1,0.2,0.1,flat,0.001679871929809451,1.0
11,1,0.2,0.15,flat,0.026851119473576546,1.0
11,1,0.2,0.2,flat,0.2779772877693176,0.9444444179534912
11,1,0.3,0.05,flat,0.3463757634162903,0.9444444179534912
11,1,0.3,0.1,flat,0.0088588185608387,1.0
11,1,0.3,0.15,flat,0.00418113125488162,1.0
11,1,0.3,0.2,flat,0.13285113871097565,1.0
12,1,0.1,0.05,flat,0.3295060694217682,0.9444444179534912
12,1,0.1,0.1,flat,0.005153852980583906,1.0
12,1,0.1,0.15,flat,0.31077948212623596,0.8888888955116272
12,1,0.1,0.2,flat,0.05356016382575035,0.9444444179534912
12,1,0.2,0.05,flat,0.12284859269857407,1.0
12,1,0.2,0.1,flat,0.13458169996738434,0.9444444179534912
12,1,0.2,0.15,flat,0.029938288033008575,1.0
12,1,0.2,0.2,flat,0.11175438016653061,1.0
12,1,0.3,0.05,flat,0.5283923745155334,0.9444444179534912
12,1,0.3,0.1,flat,0.05286528915166855,1.0
12,1,0.3,0.15,flat,0.10832475125789642,1.0
12,1,0.3,0.2,flat,0.11979125440120697,0.9444444179534912
13,1,0.1,0.05,flat,0.13350866734981537,1.0
13,1,0.1,0.1,flat,0.014647571370005608,1.0
13,1,0.1,0.15,flat,0.0003329066385049373,1.0
13,1,0.1,0.2,flat,0.02854456566274166,1.0
13,1,0.2,0.05,flat,0.37245941162109375,1.0
13,1,0.2,0.1,flat,0.012928844429552555,1.0
13,1,0.2,0.15,flat,0.17184500396251678,1.0
13,1,0.2,0.2,flat,0.27093225717544556,0.9444444179534912
13,1,0.3,0.05,flat,0.09734594821929932,1.0
13,1,0.3,0.1,flat,0.047485098242759705,1.0
13,1,0.3,0.15,flat,0.029109517112374306,1.0
13,1,0.3,0.2,flat,0.1522720605134964,1.0
1,2,0.1,0.05,flat,0.7214868068695068,0.6666666865348816
1,2,0.1,0.1,flat,1.0574469566345215,0.5
1,2,0.1,0.15,flat,1.042043924331665,0.5
1,2,0.1,0.2,flat,1.0309804677963257,0.5
1,2,0.2,0.05,flat,0.9653871059417725,0.5
1,2,0.2,0.1,flat,1.0574469566345215,0.5
1,2,0.2,0.15,flat,1.042043924331665,0.5
1,2,0.2,0.2,flat,1.0309804677963257,0.5
1,2,0.3,0.05,flat,1.0768753290176392,0.5
1,2,0.3,0.1,flat,1.0574469566345215,0.5
1,2,0.3,0.15,flat,0.6222381591796875,0.8333333134651184
1,2,0.3,0.2,flat,1.0309804677963257,0.5
2,2,0.1,0.05,flat,0.7814974784851074,0.8333333134651184
2,2,0.1,0.1,flat,0.5959100723266602,0.7777777910232544
2,2,0.1,0.15,flat,0.6721461415290833,0.7777777910232544
2,2,0.1,0.2,flat,0.8793214559555054,0.3888888955116272
2,2,0.2,0.05,flat,0.46326494216918945,0.7777777910232544
2,2,0.2,0.1,flat,0.5649846196174622,0.7222222089767456
2,2,0.2,0.15,flat,0.76936274766922,0.5
2,2,0.2,0.2,flat,0.7233593463897705,0.6666666865348816
2,2,0.3,0.05,flat,0.6951386332511902,0.9444444179534912
2,2,0.3,0.1,flat,1.057605266571045,0.5
2,2,0.3,0.15,flat,0.8573405742645264,0.6111111044883728
2,2,0.3,0.2,flat,0.6319944858551025,0.7777777910232544
3,2,0.1,0.05,flat,0.587687611579895,0.8888888955116272
3,2,0.1,0.1,flat,0.7396583557128906,0.6666666865348816
3,2,0.1,0.15,flat,0.2101055532693863,0.8333333134651184
3,2,0.1,0.2,flat,0.24028736352920532,1.0
3,2,0.2,0.05,flat,0.5751019716262817,0.8888888955116272
3,2,0.2,0.1,flat,1.073848843574524,0.5
3,2,0.2,0.15,flat,0.29405662417411804,1.0
3,2,0.2,0.2,flat,0.664941668510437,0.6666666865348816
3,2,0.3,0.05,flat,0.9751721620559692,0.8333333134651184
3,2,0.3,0.1,flat,0.7903569936752319,0.8333333134651184
3,2,0.3,0.15,flat,1.0196614265441895,0.5
3,2,0.3,0.2,flat,0.8287746906280518,0.6666666865348816
4,2,0.1,0.05,flat,0.7048904895782471,0.8333333134651184
4,2,0.1,0.1,flat,0.24105286598205566,1.0
4,2,0.1,0.15,flat,0.7447940111160278,0.6666666865348816
4,2,0.1,0.2,flat,0.12967215478420258,1.0
4,2,0.2,0.05,flat,0.5593127012252808,0.8333333134651184
4,2,0.2,0.1,flat,0.6816117167472839,0.7222222089767456
4,2,0.2,0.15,flat,1.0423997640609741,0.5
4,2,0.2,0.2,flat,0.6989166736602783,0.6666666865348816
4,2,0.3,0.05,flat,0.4174569845199585,0.8888888955116272
4,2,0.3,0.1,flat,0.5681130290031433,0.8333333134651184
4,2,0.3,0.15,flat,0.7738890051841736,0.6666666865348816
4,2,0.3,0.2,flat,0.9085648059844971,0.6666666865348816
5,2,0.1,0.05,flat,0.435626357793808,0.8333333134651184
5,2,0.1,0.1,flat,0.5323303937911987,0.6111111044883728
5,2,0.1,0.15,flat,0.009540206752717495,1.0
5,2,0.1,0.2,flat,0.09114713966846466,1.0
5,2,0.2,0.05,flat,0.6634447574615479,0.8333333134651184
5,2,0.2,0.1,flat,0.46878719329833984,1.0
5,2,0.2,0.15,flat,0.6290645599365234,0.6666666865348816
5,2,0.2,0.2,flat,0.011214722879230976,1.0
5,2,0.3,0.05,flat,0.516326904296875,0.8333333134651184
5,2,0.3,0.1,flat,0.5971190333366394,0.9444444179534912
5,2,0.3,0.15,flat,0.3128100633621216,1.0
5,2,0.3,0.2,flat,0.858035683631897,0.6666666865348816
6,2,0.1,0.05,flat,0.5929505228996277,0.8888888955116272
6,2,0.1,0.1,flat,0.17597196996212006,1.0
6,2,0.1,0.15,flat,0.20845061540603638,0.8333333134651184
6,2,0.1,0.2,flat,0.021663017570972443,1.0
6,2,0.2,0.05,flat,0.7057636976242065,1.0
6,2,0.2,0.1,flat,0.4092964231967926,0.8333333134651184
6,2,0.2,0.15,flat,0.05862043425440788,1.0
6,2,0.2,0.2,flat,0.42627081274986267,0.8333333134651184
6,2,0.3,0.05,flat,0.7168934941291809,0.7222222089767456
6,2,0.3,0.1,flat,0.5973901748657227,0.8333333134651184
6,2,0.3,0.15,flat,0.7012330889701843,0.6111111044883728
6,2,0.3,0.2,flat,0.8653337359428406,0.7777777910232544
7,2,0.1,0.05,flat,0.581562340259552,1.0
7,2,0.1,0.1,flat,0.5152926445007324,0.8888888955116272
7,2,0.1,0.15,flat,0.6598743200302124,0.7777777910232544
7,2,0.1,0.2,flat,0.38947588205337524,0.9444444179534912
7,2,0.2,0.05,flat,0.8968762159347534,0.7777777910232544
7,2,0.2,0.1,flat,0.2783162593841553,1.0
7,2,0.2,0.15,flat,0.25744524598121643,0.9444444179534912
7,2,0.2,0.2,flat,0.09070779383182526,1.0
7,2,0.3,0.05,flat,0.426562637090683,0.9444444179534912
7,2,0.3,0.1,flat,0.4949372708797455,0.9444444179534912
7,2,0.3,0.15,flat,0.7919999361038208,0.3888888955116272
7,2,0.3,0.2,flat,0.25552037358283997,0.8888888955116272
8,2,0.1,0.05,flat,0.7479754686355591,0.6666666865348816
8,2,0.1,0.1,flat,0.031589116901159286,1.0
8,2,0.1,0.15,flat,0.30915388464927673,1.0
8,2,0.1,0.2,flat,0.18933247029781342,0.9444444179534912
8,2,0.2,0.05,flat,0.2035531848669052,1.0
8,2,0.2,0.1,flat,0.4427728056907654,1.0
8,2,0.2,0.15,flat,0.33620747923851013,0.8888888955116272
8,2,0.2,0.2,flat,0.4210842251777649,0.8333333134651184
8,2,0.3,0.05,flat,0.646884024143219,0.7777777910232544
8,2,0.3,0.1,flat,0.1706719696521759,1.0
8,2,0.3,0.15,flat,0.4063921272754669,1.0
8,2,0.3,0.2,flat,0.45727014541625977,0.7777777910232544
9,2,0.1,0.05,flat,0.1190788745880127,0.9444444179534912
9,2,0.1,0.1,flat,0.03670969977974892,1.0
9,2,0.1,0.15,flat,0.8235348463058472,0.4444444477558136
9,2,0.1,0.2,flat,0.3021029829978943,0.8888888955116272
9,2,0.2,0.05,flat,0.19753582775592804,1.0
9,2,0.2,0.1,flat,0.03645578399300575,1.0
9,2,0.2,0.15,flat,0.6537411212921143,0.5555555820465088
9,2,0.2,0.2,flat,0.3083660304546356,1.0
9,2,0.3,0.05,flat,0.43873268365859985,0.8333333134651184
9,2,0.3,0.1,flat,0.12367857992649078,1.0
9,2,0.3,0.15,flat,0.14907439053058624,0.9444444179534912
9,2,0.3,0.2,flat,0.1724892556667328,0.9444444179534912
10,2,0.1,0.05,flat,0.07934360206127167,1.0
10,2,0.1,0.1,flat,0.24017852544784546,1.0
10,2,0.1,0.15,flat,0.5906672477722168,0.6666666865348816
10,2,0.1,0.2,flat,0.09145161509513855,1.0
10,2,0.2,0.05,flat,0.3697926104068756,0.9444444179534912
10,2,0.2,0.1,flat,0.4213707745075226,0.8333333134651184
10,2,0.2,0.15,flat,0.2205011546611786,1.0
10,2,0.2,0.2,flat,0.26225656270980835,0.9444444179534912
10,2,0.3,0.05,flat,0.607124388217926,0.8888888955116272
10,2,0.3,0.1,flat,0.20780277252197266,0.9444444179534912
10,2,0.3,0.15,flat,0.0413036048412323,1.0
10,2,0.3,0.2,flat,0.4843286871910095,0.6666666865348816
11,2,0.1,0.05,flat,0.4642575681209564,0.9444444179534912
11,2,0.1,0.1,flat,0.26920264959335327,0.8333333134651184
11,2,0.1,0.15,flat,0.5326226949691772,0.5
11,2,0.1,0.2,flat,0.06193159520626068,0.9444444179534912
11,2,0.2,0.05,flat,0.45184558629989624,1.0
11,2,0.2,0.1,flat,0.10605478286743164,1.0
11,2,0.2,0.15,flat,0.16638275980949402,1.0
11,2,0.2,0.2,flat,0.431380957365036,0.8888888955116272
11,2,0.3,0.05,flat,0.2816661298274994,1.0
11,2,0.3,0.1,flat,0.5201283693313599,0.8333333134651184
11,2,0.3,0.15,flat,0.062202438712120056,1.0
11,2,0.3,0.2,flat,0.5568606853485107,0.8333333134651184
12,2,0.1,0.05,flat,0.01752900891005993,1.0
12,2,0.1,0.1,flat,0.12527158856391907,0.9444444179534912
12,2,0.1,0.15,flat,0.39067092537879944,1.0
12,2,0.1,0.2,flat,0.014503265731036663,1.0
12,2,0.2,0.05,flat,0.335818350315094,1.0
12,2,0.2,0.1,flat,0.11977043747901917,1.0
12,2,0.2,0.15,flat,0.200739324092865,0.8333333134651184
12,2,0.2,0.2,flat,0.3302688002586365,0.8888888955116272
12,2,0.3,0.05,flat,0.1660289168357849,0.9444444179534912
12,2,0.3,0.1,flat,0.43396615982055664,1.0
12,2,0.3,0.15,flat,0.03482475131750107,1.0
12,2,0.3,0.2,flat,0.1825622171163559,1.0
13,2,0.1,0.05,flat,0.53561931848526,0.8888888955116272
13,2,0.1,0.1,flat,0.0024995035491883755,1.0
13,2,0.1,0.15,flat,0.07596376538276672,1.0
13,2,0.1,0.2,flat,0.4175025224685669,0.8888888955116272
13,2,0.2,0.05,flat,0.2567037045955658,0.9444444179534912
13,2,0.2,0.1,flat,0.38518989086151123,0.9444444179534912
13,2,0.2,0.15,flat,0.20813821256160736,0.9444444179534912
13,2,0.2,0.2,flat,0.8269102573394775,0.4444444477558136
13,2,0.3,0.05,flat,0.7142684459686279,1.0
13,2,0.3,0.1,flat,0.21000735461711884,0.9444444179534912
13,2,0.3,0.15,flat,0.17423593997955322,1.0
13,2,0.3,0.2,flat,0.4304281771183014,0.9444444179534912
1,3,0.1,0.05,flat,0.925288736820221,0.6666666865348816
1,3,0.1,0.1,flat,1.0574469566345215,0.5
1,3,0.1,0.15,flat,1.042043924331665,0.5
1,3,0.1,0.2,flat,1.0309804677963257,0.5
1,3,0.2,0.05,flat,0.8011181354522705,0.5
1,3,0.2,0.1,flat,1.0574469566345215,0.5
1,3,0.2,0.15,flat,0.6476964950561523,0.5
1,3,0.2,0.2,flat,1.0309804677963257,0.5
1,3,0.3,0.05,flat,1.0768753290176392,0.5
1,3,0.3,0.1,flat,1.0573322772979736,0.5
1,3,0.3,0.15,flat,1.042043924331665,0.5
1,3,0.3,0.2,flat,1.0309804677963257,0.5
2,3,0.1,0.05,flat,0.8494251370429993,0.5555555820465088
2,3,0.1,0.1,flat,0.6934897899627686,0.8333333134651184
2,3,0.1,0.15,flat,1.0426229238510132,0.5
2,3,0.1,0.2,flat,1.0309804677963257,0.5
2,3,0.2,0.05,flat,0.8658482432365417,0.5555555820465088
2,3,0.2,0.1,flat,1.0574469566345215,0.5
2,3,0.2,0.15,flat,1.0408482551574707,0.5
2,3,0.2,0.2,flat,1.0355665683746338,0.5
2,3,0.3,0.05,flat,1.0400052070617676,0.4444444477558136
2,3,0.3,0.1,flat,1.0586395263671875,0.5
2,3,0.3,0.15,flat,1.0252748727798462,0.5
2,3,0.3,0.2,flat,1.0309804677963257,0.5
3,3,0.1,0.05,flat,0.9127277731895447,0.6111111044883728
3,3,0.1,0.1,flat,0.7270599007606506,0.6666666865348816
3,3,0.1,0.15,flat,0.8176047205924988,0.5555555820465088
3,3,0.1,0.2,flat,1.0622766017913818,0.5
3,3,0.2,0.05,flat,0.8509303331375122,0.6111111044883728
3,3,0.2,0.1,flat,0.6452552080154419,0.5
3,3,0.2,0.15,flat,0.7785986661911011,0.4444444477558136
3,3,0.2,0.2,flat,0.5378075838088989,0.7777777910232544
3,3,0.3,0.05,flat,0.8936551213264465,0.5
3,3,0.3,0.1,flat,1.0574469566345215,0.5
3,3,0.3,0.15,flat,0.9479346871376038,0.6666666865348816
3,3,0.3,0.2,flat,1.0332387685775757,0.5555555820465088
4,3,0.1,0.05,flat,0.6985276937484741,0.5555555820465088
4,3,0.1,0.1,flat,0.9335024952888489,0.6111111044883728
4,3,0.1,0.15,flat,0.5812044739723206,0.8333333134651184
4,3,0.1,0.2,flat,0.8192834854125977,0.6111111044883728
4,3,0.2,0.05,flat,0.5269143581390381,0.7777777910232544
4,3,0.2,0.1,flat,0.533656120300293,0.6666666865348816
4,3,0.2,0.15,flat,0.6929975152015686,0.5
4,3,0.2,0.2,flat,0.9370471239089966,0.4444444477558136
4,3,0.3,0.05,flat,0.5877785086631775,0.8888888955116272
4,3,0.3,0.1,flat,0.7389533519744873,0.6666666865348816
4,3,0.3,0.15,flat,0.7484004497528076,0.8333333134651184
4,3,0.3,0.2,flat,1.001819372177124,0.6111111044883728
5,3,0.1,0.05,flat,0.4203301668167114,0.9444444179534912
5,3,0.1,0.1,flat,0.35184407234191895,0.8333333134651184
5,3,0.1,0.15,flat,0.4301140010356903,0.8333333134651184
5,3,0.1,0.2,flat,0.6687233448028564,0.8888888955116272
5,3,0.2,0.05,flat,0.5213589072227478,0.8333333134651184
5,3,0.2,0.1,flat,1.0397813320159912,0.5
5,3,0.2,0.15,flat,0.7931444644927979,0.7777777910232544
5,3,0.2,0.2,flat,0.9635430574417114,0.2222222238779068
5,3,0.3,0.05,flat,0.8885332942008972,0.6666666865348816
5,3,0.3,0.1,flat,0.8517016768455505,0.6666666865348816
5,3,0.3,0.15,flat,0.6701638102531433,0.6111111044883728
5,3,0.3,0.2,flat,0.5097667574882507,0.8888888955116272
6,3,0.1,0.05,flat,0.6065862774848938,0.6111111044883728
6,3,0.1,0.1,flat,0.6022412776947021,0.8333333134651184
6,3,0.1,0.15,flat,0.40482112765312195,0.8333333134651184
6,3,0.1,0.2,flat,0.54500812292099,0.6666666865348816
6,3,0.2,0.05,flat,0.6871201395988464,1.0
6,3,0.2,0.1,flat,0.3747877776622772,0.9444444179534912
6,3,0.2,0.15,flat,0.15552467107772827,1.0
6,3,0.2,0.2,flat,1.0274481773376465,0.5
6,3,0.3,0.05,flat,0.6045610904693604,0.9444444179534912
6,3,0.3,0.1,flat,0.8985779285430908,0.6666666865348816
6,3,0.3,0.15,flat,0.7273585796356201,0.5
6,3,0.3,0.2,flat,0.6592302918434143,0.8333333134651184
7,3,0.1,0.05,flat,0.30940914154052734,0.8333333134651184
7,3,0.1,0.1,flat,0.21142609417438507,1.0
7,3,0.1,0.15,flat,1.1329865455627441,0.7777777910232544
7,3,0.1,0.2,flat,0.6297465562820435,0.8333333134651184
7,3,0.2,0.05,flat,0.7115603685379028,0.8888888955116272
7,3,0.2,0.1,flat,0.3098044991493225,1.0
7,3,0.2,0.15,flat,0.5856225490570068,0.9444444179534912
7,3,0.2,0.2,flat,1.3735944032669067,0.5
7,3,0.3,0.05,flat,0.5190322399139404,0.8333333134651184
7,3,0.3,0.1,flat,0.5093033909797668,0.8888888955116272
7,3,0.3,0.15,flat,0.6591746807098389,1.0
7,3,0.3,0.2,flat,0.7040766477584839,0.8333333134651184
8,3,0.1,0.05,flat,0.2311154454946518,1.0
8,3,0.1,0.1,flat,0.0443464033305645,1.0
8,3,0.1,0.15,flat,0.2651965022087097,1.0
8,3,0.1,0.2,flat,0.9661527276039124,0.6111111044883728
8,3,0.2,0.05,flat,0.7686552405357361,0.7222222089767456
8,3,0.2,0.1,flat,0.5624170303344727,1.0
8,3,0.2,0.15,flat,0.6020846962928772,0.7777777910232544
8,3,0.2,0.2,flat,1.0034079551696777,0.5
8,3,0.3,0.05,flat,0.3744526505470276,0.8333333134651184
8,3,0.3,0.1,flat,0.5528557896614075,0.9444444179534912
8,3,0.3,0.15,flat,0.3430691063404083,0.9444444179534912
8,3,0.3,0.2,flat,0.5857210159301758,0.8333333134651184
9,3,0.1,0.05,flat,0.22289294004440308,1.0
9,3,0.1,0.1,flat,0.35814863443374634,0.9444444179534912
9,3,0.1,0.15,flat,0.3467291295528412,0.8888888955116272
9,3,0.1,0.2,flat,0.9822270274162292,0.5555555820465088
9,3,0.2,0.05,flat,0.09865402430295944,1.0
9,3,0.2,0.1,flat,0.18885789811611176,0.8333333134651184
9,3,0.2,0.15,flat,0.09548678994178772,1.0
9,3,0.2,0.2,flat,0.3206785023212433,0.9444444179534912
9,3,0.3,0.05,flat,0.4351270794868469,0.8888888955116272
9,3,0.3,0.1,flat,0.05813746899366379,1.0
9,3,0.3,0.15,flat,0.8233997821807861,0.6111111044883728
9,3,0.3,0.2,flat,0.24867446720600128,1.0
10,3,0.1,0.05,flat,0.32965075969696045,0.9444444179534912
10,3,0.1,0.1,flat,0.6514211893081665,0.6666666865348816
10,3,0.1,0.15,flat,0.16813580691814423,1.0
10,3,0.1,0.2,flat,0.751029908657074,0.7777777910232544
10,3,0.2,0.05,flat,0.02496551163494587,1.0
10,3,0.2,0.1,flat,0.421066015958786,0.9444444179534912
10,3,0.2,0.15,flat,0.7259904742240906,0.5
10,3,0.2,0.2,flat,0.4540082514286041,0.8333333134651184
10,3,0.3,0.05,flat,0.6884506940841675,0.6111111044883728
10,3,0.3,0.1,flat,0.7967498302459717,0.9444444179534912
10,3,0.3,0.15,flat,0.46902942657470703,0.8888888955116272
10,3,0.3,0.2,flat,0.6316972374916077,0.7777777910232544
11,3,0.1,0.05,flat,0.42454293370246887,0.7777777910232544
11,3,0.1,0.1,flat,0.2533215284347534,0.9444444179534912
11,3,0.1,0.15,flat,0.2132244110107422,1.0
11,3,0.1,0.2,flat,0.8709376454353333,0.6666666865348816
11,3,0.2,0.05,flat,0.27055734395980835,1.0
11,3,0.2,0.1,flat,0.17879945039749146,0.8333333134651184
11,3,0.2,0.15,flat,0.6610105037689209,0.8888888955116272
11,3,0.2,0.2,flat,0.23036707937717438,1.0
11,3,0.3,0.05,flat,0.8053374290466309,0.5
11,3,0.3,0.1,flat,0.5194265842437744,0.8333333134651184
11,3,0.3,0.15,flat,0.39994192123413086,0.7777777910232544
11,3,0.3,0.2,flat,0.78275066614151,0.6111111044883728
12,3,0.1,0.05,flat,0.5018079280853271,0.9444444179534912
12,3,0.1,0.1,flat,0.15393155813217163,1.0
12,3,0.1,0.15,flat,0.5100381970405579,0.8333333134651184
12,3,0.1,0.2,flat,0.04816802218556404,0.9444444179534912
12,3,0.2,0.05,flat,0.40246403217315674,0.8888888955116272
12,3,0.2,0.1,flat,0.6104798913002014,0.6666666865348816
12,3,0.2,0.15,flat,0.39479827880859375,0.8888888955116272
12,3,0.2,0.2,flat,0.4628884494304657,1.0
